universe,factor,period,return_type,median_delta_cagr,median_delta_sharpe,median_delta_mdd,cagr_win_phases,sharpe_win_phases,mdd_improve_phases,n_phases
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BULL_2025,GROSS,-0.06615071689942609,-0.07870745837783044,0.022801980404168642,1,2,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BULL_2025,NET30,-0.06470901951772967,-0.0910927032493265,0.022380809623564535,1,2,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,BULL_2025,NET60,-0.06326541115786133,-0.10332028228283452,0.021962325988398368,1,2,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,EARLY_2016_2019,GROSS,0.007553782332898162,0.04595159382669378,0.0018728999816257086,7,7,5,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,EARLY_2016_2019,NET30,0.0065588068807995725,0.038428826572374675,0.005858395183373777,7,7,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,EARLY_2016_2019,NET60,0.0056282777112292015,0.030854178200226623,0.008181157985916232,7,7,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,FULL_2016_2026,GROSS,0.03181597177081019,0.11142961003288943,0.02647533665846008,10,10,9,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,FULL_2016_2026,NET30,0.029987175592684934,0.10595796118678424,0.021606146086634803,10,10,8,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,FULL_2016_2026,NET60,0.0282518613137418,0.10036101661347896,0.018377066152072574,10,10,8,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,LATE_2020_2022,GROSS,0.0408573261488312,0.12914729775297296,0.006359403150647147,10,10,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,LATE_2020_2022,NET30,0.038600335653484974,0.12279514543784037,0.006008769494473876,10,10,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,LATE_2020_2022,NET60,0.03645592494140559,0.11637120339771181,0.00609094025775847,10,10,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,NORMAL_2023_2024,GROSS,0.027070185779537126,0.11762297037473995,0.007290128442820953,8,8,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,NORMAL_2023_2024,NET30,0.024882543909708343,0.10616296531475969,0.007390083906243627,8,8,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,NORMAL_2023_2024,NET60,0.022826692772872526,0.09520801316243238,0.016268460200301982,8,8,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,PRE_STRESS_2016_2024,GROSS,0.02835132474126656,0.11472684643497186,0.0016815974066817785,9,10,6,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,PRE_STRESS_2016_2024,NET30,0.026813999441449465,0.10900085289365502,0.00019252924084911527,9,9,5,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,PRE_STRESS_2016_2024,NET60,0.025352444553292885,0.10224031505377447,0.00226617945276425,9,9,5,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,YTD_2026,GROSS,0.17165295882359916,0.337613814837022,0.05952064454213368,10,10,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,YTD_2026,NET30,0.1632795814416675,0.332584786874404,0.05939854889729418,10,10,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,YTD_2026,NET60,0.15529709023463806,0.3274836336461856,0.05927319526537117,10,10,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BULL_2025,GROSS,0.031969492535181554,0.13491729627076732,0.008376465520741228,8,8,8,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BULL_2025,NET30,0.025651845900242054,0.11169475467554779,0.009135370542485644,7,7,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,BULL_2025,NET60,0.019509232319012026,0.08837287084747503,0.008508417920201461,7,7,7,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,EARLY_2016_2019,GROSS,0.022987422167741633,0.13427686262864133,0.01925911045433526,10,10,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,EARLY_2016_2019,NET30,0.018618305795344403,0.11438051632812303,0.014835526218529627,10,10,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,EARLY_2016_2019,NET60,0.014877018602024727,0.09449885978266945,0.012734795608190241,10,10,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,FULL_2016_2026,GROSS,0.02802717469951732,0.11320664780022743,0.027043661672592645,10,10,8,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,FULL_2016_2026,NET30,0.023199356826901996,0.09518420033608957,0.0221366249147682,10,10,8,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,FULL_2016_2026,NET60,0.01850828607636068,0.07712998406385477,0.018137961945999925,10,10,8,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,LATE_2020_2022,GROSS,0.03132256311337667,0.10279410202723294,-0.0029026825235814457,9,9,4,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,LATE_2020_2022,NET30,0.02571250577040629,0.08580089331742458,-0.0029815258312425597,9,9,4,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,LATE_2020_2022,NET60,0.020261323124698083,0.06873832062585294,-0.003060034623327601,9,9,4,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,NORMAL_2023_2024,GROSS,0.04453453487007686,0.23444769412484628,0.02583773640942727,9,9,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,NORMAL_2023_2024,NET30,0.03938163303614062,0.2094679664088537,0.02406620060511594,9,9,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,NORMAL_2023_2024,NET60,0.0343631703880557,0.18441558763484267,0.022313897086890244,9,9,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,PRE_STRESS_2016_2024,GROSS,0.03421632292996246,0.15141912025761364,0.027043661672592645,10,10,8,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,PRE_STRESS_2016_2024,NET30,0.0292667947357248,0.13183607025801267,0.0221366249147682,10,10,8,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,PRE_STRESS_2016_2024,NET60,0.02445680938098782,0.11219531244927303,0.018137961945999925,10,10,8,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,YTD_2026,GROSS,-0.04015408501182638,-0.09962315777545577,-0.024324104447260908,3,3,0,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,YTD_2026,NET30,-0.043332488973309546,-0.10850587344361151,-0.026340490787673643,3,3,0,10
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,YTD_2026,NET60,-0.04639998652478616,-0.11736631761739794,-0.028159068664895592,2,2,0,10
KOSPI_ALL,PER12MF,BULL_2025,GROSS,0.0838825707428612,0.14721723835772105,-0.005429521861500197,9,9,0,10
KOSPI_ALL,PER12MF,BULL_2025,NET30,0.0746574642693476,0.127261521481284,-0.005424959441877986,9,9,0,10
KOSPI_ALL,PER12MF,BULL_2025,NET60,0.06565797781505656,0.10975093673950842,-0.005621305134651922,9,8,0,10
KOSPI_ALL,PER12MF,EARLY_2016_2019,GROSS,-0.010300847009298009,-0.06519871630393793,0.031262635902335134,0,0,10,10
KOSPI_ALL,PER12MF,EARLY_2016_2019,NET30,-0.015416372379532362,-0.09796623925902619,0.02381415021819694,0,0,10,10
KOSPI_ALL,PER12MF,EARLY_2016_2019,NET60,-0.020370283689335633,-0.1305425133175565,0.014521244065960448,0,0,7,10
KOSPI_ALL,PER12MF,FULL_2016_2026,GROSS,0.012256016562256944,0.04437618607354826,0.02825575732292418,9,9,10,10
KOSPI_ALL,PER12MF,FULL_2016_2026,NET30,0.00658938182435731,0.022718359424509726,0.021590046129720264,9,8,10,10
KOSPI_ALL,PER12MF,FULL_2016_2026,NET60,0.0010716447678469354,0.0009920348333206097,0.01633197932984276,5,5,9,10
KOSPI_ALL,PER12MF,LATE_2020_2022,GROSS,0.022373028155913466,0.07984837275898848,0.008867401034152678,10,10,8,10
KOSPI_ALL,PER12MF,LATE_2020_2022,NET30,0.01790377466222881,0.06496504700314626,0.008554195613255378,9,9,8,10
KOSPI_ALL,PER12MF,LATE_2020_2022,NET60,0.013548250993691946,0.05002718933379549,0.008325956793437284,9,9,8,10
KOSPI_ALL,PER12MF,NORMAL_2023_2024,GROSS,-0.0030711395691090937,-0.024011664887330586,0.0017371737442014035,4,4,6,10
KOSPI_ALL,PER12MF,NORMAL_2023_2024,NET30,-0.009110489030270896,-0.0514527031834654,0.001385519811069158,2,1,6,10
KOSPI_ALL,PER12MF,NORMAL_2023_2024,NET60,-0.014998139722972814,-0.07896329205854197,-0.0009936883203476854,1,1,4,10
KOSPI_ALL,PER12MF,PRE_STRESS_2016_2024,GROSS,0.0015705073042434625,0.009616876256385687,0.02825575732292418,5,5,10,10
KOSPI_ALL,PER12MF,PRE_STRESS_2016_2024,NET30,-0.003577675172563244,-0.014189644891649117,0.021590046129720264,4,4,10,10
KOSPI_ALL,PER12MF,PRE_STRESS_2016_2024,NET60,-0.00858188779429292,-0.03808306245642348,0.01633197932984276,2,2,9,10
KOSPI_ALL,PER12MF,YTD_2026,GROSS,0.1520321967970849,0.21579314040896747,0.00044612624171719295,10,10,5,10
KOSPI_ALL,PER12MF,YTD_2026,NET30,0.13940208222682793,0.2007323245390858,0.0009657679912695172,10,10,6,10
KOSPI_ALL,PER12MF,YTD_2026,NET60,0.12714204230322623,0.18558816926361615,0.0015406938428543793,10,10,8,10
KOSPI_ALL,PRIVATE_FLOW,BULL_2025,GROSS,0.11439428312593725,0.19860444549099276,-0.00040564654840252734,9,9,5,10
KOSPI_ALL,PRIVATE_FLOW,BULL_2025,NET30,0.11069922384747721,0.20653628645302125,-0.00046703963729138875,9,8,5,10
KOSPI_ALL,PRIVATE_FLOW,BULL_2025,NET60,0.10711130791858903,0.21430965930032886,-0.0005442203910542287,9,8,4,10
KOSPI_ALL,PRIVATE_FLOW,EARLY_2016_2019,GROSS,-0.0038134242576602917,-0.019989633520659238,-0.028200953869878753,5,5,1,10
KOSPI_ALL,PRIVATE_FLOW,EARLY_2016_2019,NET30,-0.004166262796242992,-0.021830022053808087,-0.02787419705805866,5,5,0,10
KOSPI_ALL,PRIVATE_FLOW,EARLY_2016_2019,NET60,-0.004482602723156426,-0.023540158820382934,-0.030128955044501693,4,5,0,10
KOSPI_ALL,PRIVATE_FLOW,FULL_2016_2026,GROSS,0.013928760826399822,0.047776430819760296,-0.025373311677481414,8,8,2,10
KOSPI_ALL,PRIVATE_FLOW,FULL_2016_2026,NET30,0.012368238502090012,0.044749428839466976,-0.02297124916970228,8,8,2,10
KOSPI_ALL,PRIVATE_FLOW,FULL_2016_2026,NET60,0.010911537606847599,0.041755047605119944,-0.023679738977684772,7,7,1,10
KOSPI_ALL,PRIVATE_FLOW,LATE_2020_2022,GROSS,0.04438816430323811,0.14247014414173312,0.014821771657068772,9,9,9,10
KOSPI_ALL,PRIVATE_FLOW,LATE_2020_2022,NET30,0.040720305060099604,0.13572669626090444,0.016060223870408563,9,9,9,10
KOSPI_ALL,PRIVATE_FLOW,LATE_2020_2022,NET60,0.03727588487824318,0.1288200830217312,0.021064068926473556,9,9,9,10
KOSPI_ALL,PRIVATE_FLOW,NORMAL_2023_2024,GROSS,-0.01341186635131908,-0.04255039994888704,0.009312271544938522,5,5,7,10
KOSPI_ALL,PRIVATE_FLOW,NORMAL_2023_2024,NET30,-0.014490966490174229,-0.052654087523931886,0.006728340934571975,5,5,7,10
KOSPI_ALL,PRIVATE_FLOW,NORMAL_2023_2024,NET60,-0.015460286593226069,-0.06264816705244683,0.0006170037256679195,5,5,5,10
KOSPI_ALL,PRIVATE_FLOW,PRE_STRESS_2016_2024,GROSS,0.010737028432448947,0.044732858290583516,-0.025373311677481414,7,8,2,10
KOSPI_ALL,PRIVATE_FLOW,PRE_STRESS_2016_2024,NET30,0.009538507989877987,0.041221819675951024,-0.02297124916970228,6,6,2,10
KOSPI_ALL,PRIVATE_FLOW,PRE_STRESS_2016_2024,NET60,0.008293185926984636,0.034873712450547496,-0.023679738977684772,6,6,1,10
KOSPI_ALL,PRIVATE_FLOW,YTD_2026,GROSS,0.02587720183860176,0.044559503433858005,0.03259079400842174,5,5,8,10
KOSPI_ALL,PRIVATE_FLOW,YTD_2026,NET30,0.022287875547873037,0.039969164407380686,0.03117328704385769,5,5,7,10
KOSPI_ALL,PRIVATE_FLOW,YTD_2026,NET60,0.018944082933081474,0.03536389296216624,0.02977543852478859,5,5,7,10
